tripduration,starttime,stoptime,start station id,end station id,bikeid,usertype,birth year,gender
613,2019-06-15 09:17:00.3060,2019-06-15 09:27:13.7800,519,487,32015,Subscriber,1979,1
1212,2019-06-11 18:50:36.2430,2019-06-11 19:10:48.8840,3164,440,15539,Subscriber,1955,1
937,2019-06-17 18:15:16.1670,2019-06-17 18:30:54.1300,3686,276,16315,Subscriber,1985,2
134,2019-06-13 22:42:35.1740,2019-06-13 22:44:49.9110,354,244,19573,Subscriber,1990,1
556,2019-06-28 19:25:11.6310,2019-06-28 19:34:28.4950,3263,445,39330,Subscriber,1982,1
393,2019-06-23 16:37:21.7250,2019-06-23 16:43:55.5090,499,3236,30838,Subscriber,1966,1
896,2019-06-22 11:56:19.8630,2019-06-22 12:11:15.8850,3674,143,35251,Subscriber,1980,2
452,2019-06-16 11:44:41.8370,2019-06-16 11:52:14.2720,482,3788,32588,Subscriber,1981,2
305,2019-06-21 09:13:24.8530,2019-06-21 09:18:30.8490,3776,3771,38721,Subscriber,1984,1
82,2019-06-09 03:38:11.8920,2019-06-09 03:39:34.4800,262,270,26910,Subscriber,1965,1
1462,2019-06-07 13:12:01.5010,2019-06-07 13:36:24.3050,501,532,35006,Customer,1969,0
548,2019-06-22 09:28:35.4810,2019-06-22 09:37:43.9860,326,435,25503,Subscriber,1988,1
2791,2019-06-30 18:45:50.3560,2019-06-30 19:32:21.4980,259,406,26406,Customer,1969,0
179,2019-06-09 11:00:49.5060,2019-06-09 11:03:49.3880,3113,3116,32944,Subscriber,1985,2
428,2019-06-28 20:15:58.5050,2019-06-28 20:23:06.6100,236,432,39434,Subscriber,1975,1
242,2019-06-01 13:57:22.8410,2019-06-01 14:01:24.8460,146,248,33922,Subscriber,1954,1
1724,2019-06-28 11:03:46.4560,2019-06-28 11:32:31.1910,3687,2006,38115,Customer,1969,0
619,2019-06-17 07:30:08.5230,2019-06-17 07:40:27.6600,3733,455,35292,Subscriber,1970,1
789,2019-06-24 19:32:38.1250,2019-06-24 19:45:47.2020,3260,3711,14714,Subscriber,1978,1
2441,2019-06-21 19:18:37.8810,2019-06-21 19:59:19.0180,3699,315,32353,Customer,1980,2
2363,2019-06-21 17:34:06.0760,2019-06-21 18:13:29.7510,3062,3319,25808,Customer,1988,1
1201,2019-06-29 22:31:25.8640,2019-06-29 22:51:27.7730,530,494,39288,Subscriber,2000,1
322,2019-06-08 01:10:09.7870,2019-06-08 01:15:32.3680,403,445,34987,Subscriber,1987,1
1328,2019-06-09 18:00:54.2250,2019-06-09 18:23:02.4430,146,405,35101,Subscriber,1991,1
533,2019-06-13 07:45:14.3380,2019-06-13 07:54:07.8160,529,402,16300,Subscriber,1963,1
2956,2019-06-06 13:12:19.1960,2019-06-06 14:01:35.2210,224,392,32230,Customer,1969,0
173,2019-06-05 19:53:53.3950,2019-06-05 19:56:46.5210,243,324,31260,Subscriber,1989,1
107,2019-06-16 14:19:36.2030,2019-06-16 14:21:23.2150,3167,3360,16734,Subscriber,1977,1
866,2019-06-06 17:10:49.8550,2019-06-06 17:25:16.1320,486,326,31101,Subscriber,1985,1
1387,2019-06-11 20:56:52.3850,2019-06-11 21:19:59.8740,460,531,34968,Subscriber,1968,2
384,2019-06-25 17:47:51.4520,2019-06-25 17:54:15.5360,3416,3544,31848,Subscriber,1992,2
1294,2019-06-30 20:15:39.1660,2019-06-30 20:37:14.0540,490,3170,28529,Subscriber,1993,1
1530,2019-06-02 16:29:35.3130,2019-06-02 16:55:06.2390,239,3770,18749,Subscriber,1990,1
989,2019-06-01 18:21:06.4540,2019-06-01 18:37:35.7630,490,493,24790,Customer,1969,0
177,2019-06-29 18:33:26.9700,2019-06-29 18:36:24.3010,3656,401,16195,Subscriber,1991,2
205,2019-06-03 05:22:25.3050,2019-06-03 05:25:50.7240,3723,3674,30201,Subscriber,1965,1
1473,2019-06-23 03:02:24.2020,2019-06-23 03:26:57.4550,229,3132,32761,Subscriber,1976,1
890,2019-06-09 12:56:16.9470,2019-06-09 13:11:06.9980,3403,391,32738,Subscriber,1993,1
2307,2019-06-29 11:06:57.3840,2019-06-29 11:45:24.5780,515,504,39708,Subscriber,1960,2
1177,2019-06-06 06:09:50.3380,2019-06-06 06:29:28.2420,3495,3376,31093,Subscriber,1994,2
1901,2019-06-28 17:14:54.3770,2019-06-28 17:46:35.6590,472,281,30598,Subscriber,1971,0
1405,2019-06-26 15:26:53.4350,2019-06-26 15:50:18.6090,279,3686,38121,Subscriber,1989,2
1682,2019-06-10 09:43:35.7810,2019-06-10 10:11:38.5480,2003,414,31105,Subscriber,1987,2
571,2019-06-30 14:42:57.5380,2019-06-30 14:52:29.3280,3367,3491,32210,Subscriber,1991,1
471,2019-06-03 21:27:29.8480,2019-06-03 21:35:20.8720,3142,3372,30558,Subscriber,1970,1
3200,2019-06-13 16:21:58.0610,2019-06-13 17:15:19.0500,387,387,21201,Customer,1978,2
1268,2019-06-19 10:38:04.1490,2019-06-19 10:59:12.2680,514,327,26580,Subscriber,1984,1
414,2019-06-03 13:59:47.5830,2019-06-03 14:06:41.6110,3497,3424,33933,Subscriber,1988,1
143,2019-06-10 22:44:42.5640,2019-06-10 22:47:06.4980,3718,317,24902,Subscriber,1988,2
591,2019-06-27 06:48:31.8340,2019-06-27 06:58:23.1440,3343,3507,39246,Subscriber,1998,1
396,2019-06-01 12:23:29.4160,2019-06-01 12:30:06.0840,3332,3389,21661,Subscriber,1973,2
787,2019-06-23 17:48:23.9440,2019-06-23 18:01:31.2450,3256,3746,35277,Subscriber,1973,1
379,2019-06-22 15:58:09.7850,2019-06-22 16:04:28.8760,3620,3716,19881,Customer,1977,1
1253,2019-06-14 07:57:21.2920,2019-06-14 08:18:14.9610,3631,373,14950,Customer,1991,2
1013,2019-06-22 20:44:07.3320,2019-06-22 21:01:01.0890,453,368,32424,Subscriber,1996,2
231,2019-06-23 21:04:50.3740,2019-06-23 21:08:42.0040,3125,3119,31445,Subscriber,1977,2
1213,2019-06-29 14:50:08.8780,2019-06-29 15:10:22.1630,525,426,18720,Subscriber,1999,1
605,2019-06-26 16:51:16.0570,2019-06-26 17:01:21.7420,167,523,19083,Subscriber,1973,1
1902,2019-06-05 11:02:14.8060,2019-06-05 11:33:57.2990,369,347,28334,Subscriber,1953,2
1663,2019-06-26 09:21:17.3860,2019-06-26 09:49:00.8600,3486,358,31021,Subscriber,1985,1
564,2019-06-28 21:43:24.5960,2019-06-28 21:52:49.2030,3351,3290,20528,Subscriber,1977,1
2377,2019-06-15 18:37:47.0300,2019-06-15 19:17:24.4740,3307,448,19296,Subscriber,1996,2
684,2019-06-05 20:36:53.8810,2019-06-05 20:48:18.3530,3124,3610,28040,Customer,1990,1
883,2019-06-28 17:09:13.3680,2019-06-28 17:23:56.7340,3427,3472,16254,Subscriber,1994,1
471,2019-06-01 20:38:57.4960,2019-06-01 20:46:49.2490,2008,279,28692,Subscriber,1972,1
789,2019-06-26 09:03:54.5410,2019-06-26 09:17:03.9470,500,474,38583,Subscriber,1974,1
555,2019-06-28 20:52:58.9000,2019-06-28 21:02:14.6670,3746,417,29796,Subscriber,1974,1
2464,2019-06-09 04:52:07.8230,2019-06-09 05:33:11.9310,236,3366,27687,Customer,1993,1
1211,2019-06-29 19:32:08.4320,2019-06-29 19:52:20.2510,3093,3056,15277,Customer,1969,0
1265,2019-06-24 18:45:15.7390,2019-06-24 19:06:21.1480,402,339,30118,Subscriber,1961,2
865,2019-06-09 19:48:05.3980,2019-06-09 20:02:31.0910,3151,3282,33399,Subscriber,1985,1
2195,2019-06-17 11:47:04.5320,2019-06-17 12:23:40.1520,3182,3182,21136,Customer,1964,2
838,2019-06-23 11:24:04.0600,2019-06-23 11:38:02.9640,3758,3775,38224,Customer,1984,2
